@relation agaricuslepiotatest1-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last

@attribute cap-shape-bell_binarized {0,1}
@attribute cap-shape-conical_binarized {0,1}
@attribute cap-shape-convex_binarized {0,1}
@attribute cap-shape-flat_binarized {0,1}
@attribute cap-shape-knobbed_binarized {0,1}
@attribute cap-shape-sunken_binarized {0,1}
@attribute cap-surface-fibrous_binarized {0,1}
@attribute cap-surface-grooves_binarized {0,1}
@attribute cap-surface-scaly_binarized {0,1}
@attribute cap-surface-smooth_binarized {0,1}
@attribute cap-color-brown_binarized {0,1}
@attribute cap-color-buff_binarized {0,1}
@attribute cap-color-cinnamon_binarized {0,1}
@attribute cap-color-gray_binarized {0,1}
@attribute cap-color-green_binarized {0,1}
@attribute cap-color-pink_binarized {0,1}
@attribute cap-color-purple_binarized {0,1}
@attribute cap-color-red_binarized {0,1}
@attribute cap-color-white_binarized {0,1}
@attribute cap-color-yellow_binarized {0,1}
@attribute odor-almond_binarized {0,1}
@attribute odor-anise_binarized {0,1}
@attribute odor-creosote_binarized {0,1}
@attribute odor-fishy_binarized {0,1}
@attribute odor-foul_binarized {0,1}
@attribute odor-musty_binarized {0,1}
@attribute odor-none_binarized {0,1}
@attribute odor-pungent_binarized {0,1}
@attribute odor-spicy_binarized {0,1}
@attribute gill-attachment-attached_binarized {0,1}
@attribute gill-attachment-descending_binarized {0,1}
@attribute gill-attachment-free_binarized {0,1}
@attribute gill-attachment-notched_binarized {0,1}
@attribute gill-spacing-close_binarized {0,1}
@attribute gill-spacing-crowded_binarized {0,1}
@attribute gill-spacing-distant_binarized {0,1}
@attribute gill-size-broad_binarized {0,1}
@attribute gill-size-narrow_binarized {0,1}
@attribute gill-color-black_binarized {0,1}
@attribute gill-color-brown_binarized {0,1}
@attribute gill-color-buff_binarized {0,1}
@attribute gill-color-chocolate_binarized {0,1}
@attribute gill-color-gray_binarized {0,1}
@attribute gill-color-green_binarized {0,1}
@attribute gill-color-orange_binarized {0,1}
@attribute gill-color-pink_binarized {0,1}
@attribute gill-color-purple_binarized {0,1}
@attribute gill-color-red_binarized {0,1}
@attribute gill-color-white_binarized {0,1}
@attribute gill-color-yellow_binarized {0,1}
@attribute stalk-shape-enlarging_binarized {0,1}
@attribute stalk-shape-tapering_binarized {0,1}
@attribute stalk-root-bulbous_binarized {0,1}
@attribute stalk-root-club_binarized {0,1}
@attribute stalk-root-cup_binarized {0,1}
@attribute stalk-root-equal_binarized {0,1}
@attribute stalk-root-rhizomorphs_binarized {0,1}
@attribute stalk-root-rooted_binarized {0,1}
@attribute stalk-root-missing_binarized {0,1}
@attribute stalk-surface-above-ring-fibrous_binarized {0,1}
@attribute stalk-surface-above-ring-scaly_binarized {0,1}
@attribute stalk-surface-above-ring-silky_binarized {0,1}
@attribute stalk-surface-above-ring-smooth_binarized {0,1}
@attribute stalk-surface-below-ring-fibrous_binarized {0,1}
@attribute stalk-surface-below-ring-scaly_binarized {0,1}
@attribute stalk-surface-below-ring-silky_binarized {0,1}
@attribute stalk-surface-below-ring-smooth_binarized {0,1}
@attribute stalk-color-above-ring-brown_binarized {0,1}
@attribute stalk-color-above-ring-buff_binarized {0,1}
@attribute stalk-color-above-ring-cinnamon_binarized {0,1}
@attribute stalk-color-above-ring-gray_binarized {0,1}
@attribute stalk-color-above-ring-orange_binarized {0,1}
@attribute stalk-color-above-ring-pink_binarized {0,1}
@attribute stalk-color-above-ring-red_binarized {0,1}
@attribute stalk-color-above-ring-white_binarized {0,1}
@attribute stalk-color-above-ring-yellow_binarized {0,1}
@attribute stalk-color-below-ring-brown_binarized {0,1}
@attribute stalk-color-below-ring-buff_binarized {0,1}
@attribute stalk-color-below-ring-cinnamon_binarized {0,1}
@attribute stalk-color-below-ring-gray_binarized {0,1}
@attribute stalk-color-below-ring-orange_binarized {0,1}
@attribute stalk-color-below-ring-pink_binarized {0,1}
@attribute stalk-color-below-ring-red_binarized {0,1}
@attribute stalk-color-below-ring-white_binarized {0,1}
@attribute stalk-color-below-ring-yellow_binarized {0,1}
@attribute veil-type-partial_binarized {0,1}
@attribute veil-type-universal_binarized {0,1}
@attribute veil-color-brown_binarized {0,1}
@attribute veil-color-orange_binarized {0,1}
@attribute veil-color-white_binarized {0,1}
@attribute veil-color-yellow_binarized {0,1}
@attribute ring-number-none_binarized {0,1}
@attribute ring-number-one_binarized {0,1}
@attribute ring-number-two_binarized {0,1}
@attribute ring-type-cobwebby_binarized {0,1}
@attribute ring-type-evanescent_binarized {0,1}
@attribute ring-type-flaring_binarized {0,1}
@attribute ring-type-large_binarized {0,1}
@attribute ring-type-none_binarized {0,1}
@attribute ring-type-pendant_binarized {0,1}
@attribute ring-type-sheathing_binarized {0,1}
@attribute ring-type-zone_binarized {0,1}
@attribute spore-print-color-black_binarized {0,1}
@attribute spore-print-color-brown_binarized {0,1}
@attribute spore-print-color-buff_binarized {0,1}
@attribute spore-print-color-chocolate_binarized {0,1}
@attribute spore-print-color-green_binarized {0,1}
@attribute spore-print-color-orange_binarized {0,1}
@attribute spore-print-color-purple_binarized {0,1}
@attribute spore-print-color-white_binarized {0,1}
@attribute spore-print-color-yellow_binarized {0,1}
@attribute population-abundant_binarized {0,1}
@attribute population-clustered_binarized {0,1}
@attribute population-numerous_binarized {0,1}
@attribute population-scattered_binarized {0,1}
@attribute population-several_binarized {0,1}
@attribute population-solitary_binarized {0,1}
@attribute habitat-grasses_binarized {0,1}
@attribute habitat-leaves_binarized {0,1}
@attribute habitat-meadows_binarized {0,1}
@attribute habitat-paths_binarized {0,1}
@attribute habitat-urban_binarized {0,1}
@attribute habitat-waste_binarized {0,1}
@attribute habitat-woods_binarized {0,1}
@attribute poisonous numeric

@data
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
